nom,adresse,telephone,email,representant,site,source,doublon_de,raison
AUTOMOBILE CLUB DU SUD-OUEST,33080 Bordeaux Cedex - France,05 56 44 22 92,contact@automobileclub-sudouest.com,Pdt : Guy Poujet ; Pdt ACSO Classic : Vincent Picot,http://www.automobileclub-sudouest.com,lva-auto,A.C.S.O. CLASSIC,tel: 0556442292
BOURGOGNE HISTORICS CARS - FFVE,21000 Dijon - France,03 80 30 57 23,fbelorgey@yahoo.fr,Pdt : François Belorgey ; Trés. : Jean-Claude Frionnet ; Secrét. : Céline Briffault,,lva-auto,ASA BEAUNE / FFSA,email: fbelorgey@yahoo.fr
CAPESTANG CLASSIQUES,34310 Capestang - France,06 01 44 43 30,capestangclassiques@gmail.com,Pdt : Gabin Metgy,https://capestangclassiques.jimdo.com/,lva-auto,CAPESTANG CLASSIQUES,email: capestangclassiques@gmail.com
CLUB VEDETTE FRANCE,35160 Montfort-sur-Meu - France,06 07 44 75 93,jh.krebs67@gmail.com,Pdt : Jean Beijard ; Vice-Pdte : Hélène Renard ; Trés. : Pierre Foliguet ; Secrét. Gén. : Alain Corcuff,https://clubvedettefrance.fr/contacts/,lva-auto,CLUB VEDETTE FRANCE,email: jh.krebs67@gmail.com
CLUB VEDETTE FRANCE,35160 Montfort-sur-Meu - France,06 07 44 75 93,jh.krebs67@gmail.com,Pdt : Jean Beijard ; Vice-Pdte : Hélène Renard ; Trés. : Pierre Foliguet ; Secrét. Gén. : Alain Corcuff,https://clubvedettefrance.fr/contacts/,lva-auto,CLUB VEDETTE FRANCE,email: jh.krebs67@gmail.com
CLUB X1/9 EUROPA CORSICA AUTO PASSION,20167 Ajaccio - France,06 72 93 73 06,corsicaautopassion@gmail.com,Pdt et Resp. relations publiques : Hervé Putzoli ; Trés. : Yves Ruault ; Secrét. : Christine Federici,http://www.x19europa.com,lva-auto,CLUB CORSICA AUTO PASSION,email: corsicaautopassion@gmail.com
GS CLUB DE FRANCE ET CLUB GSA DE FRANCE,33380 Mios - France,06 80 12 64 53,contact@gsclubgdefrance.fr,Pdt : Alain Abadi ; Trés. : Ariane Abadi ; Secrét. : Pascale Abadi,http://www.gsclubdefrance.fr,lva-auto,CLUB GRANDES SORTIES DE FRANCE,tel: 0680126453
L'AVENTURE PEUGEOT CITROËN DS,25600 Sochaux - France,,contact-avpcd@laventureassociation.com,,http://www.laventure-association.com,lva-auto,L'AVENTURE PEUGEOT CITROËN DS,email: contact-avpcd@laventureassociation.com
LA TRACTION DE HAUTE AUVERGNE ET AUTRES,15000 Aurillac - France,06 81 38 42 39,cpicard15@hotmail.fr,Pdt : Christian Picard ; Vice-Pdt : Daniel Borel ; Trés. : Bernard Le Franc ; Secrét. : Maurice Ortigues ; Secrét. adj. : Vincent Rieuf ; Membres du bureau : Ãric Lacalmontie et Médéric Balby,,lva-auto,CONSERVATION VÉHICULES MILITAIRES COLLECTION CANTAL,email: cpicard15@hotmail.fr
LES 2 CV À CAPOTS ONDULÉS,06450 Belvédère - France,06 11 25 08 57,capotsondules@gmail.com,Pdt : Jean-Claude Viola ; Vice-Pdt : Pierre Vuillard ; Trés. : Roger Lanza ; Secrét. : Gabriel Apert,http://www.2cvco.canalblog.com,lva-auto,LA TRACTION UNIVERSELLE MÉDITERRANÉE,tel: 0611250857
LES 4A - ASSOCIATION AVIGNONNAISE AUTOMOBILES ANCIENNES,84000 Avignon - France,06 10 83 38 96,4a.avignon@gmail.com,Pdt : François Cardineau ; Vice-Pdt et Secrét. : Yves Tudesq ; Trés. : Richard Favier,http://www.4a-avignon.fr,lva-auto,AMICALE LES DÉJANTÉS EN UBAYE,tel: 0610833896
LES AMATEURS D'AUTOMOBILES ANCIENNES - AAA,69006 Lyon - France,,epoquauto@les3a.com,Pdt : Pierre Desmerger ; Vice-Pdt club : Henri Valla ; Vice-Pdt Ãpoqu'auto : Jean-Paul Bessy ; Trés. : Yves Muller ; Secrét. : Babette Carrozzi,http://www.les3a.com,lva-auto,AMICALE DES AMATEURS D'AUTOMOBILES ANCIENNES - A3A,email: epoquauto@les3a.com
LES AMIS DE PANHARD ET LEVASSOR,91410 Les Granges-le-Roi - France,01 64 59 96 99,paul.dupuis-philiponnet@neuf.fr,Pdt : Paul Dupuis-Philiponnet ; Secrét. : Annie Poudroux ; Secrét. adj. : Fabien Petit,,lva-auto,CHEVROLET CORVAIR CLUB,email: paul.dupuis-philiponnet@neuf.fr
MINI AUTO 45,45163 Olivet Cedex - France,06 83 19 56 76,er.mortier@laposte.net,Pdt : Ãric Mortier ; Vice-Pdt : Alain Seutin ; Vice-Pdt et Trés. Francis Maillet,http://www.miniauto45.com,lva-auto,G.T.O. GRAND TOURISME ORLÉANAIS,email: er.mortier@laposte.net
