nom,adresse,telephone,email,representant,site,source
'55 '56 '57 CLASSIC CHEVY CLUB FRANCE - CCCF,77140 Saint-Pierre-lès-Nemours - France,06 18 81 62 51,567cccfprez@free.fr,Pdt et Secrét. : Olivier Morin ; Vice-Pdt : Bruno Grégoire et Philippe Pérez ; Trés. : Philippe Crampes,http://567cccflesite.free.fr,lva-auto
07 AUTO RÉTRO CLUB,07200 Vesseaux - France,06 85 96 51 83,07autoretroclub@gmail.com,Pdts : Claude Méral et Philippe Petit ; Vice-Pdt : Jean-Claude Berner ; Trés. : Michel Chapuis ; Secrét. : Cathy Petit,http://www.07autoretroclub.wixsite.com,lva-auto
17 RÉTRO PASSION,17400 Les Églises-d'Argenteuil - France,06 98 96 64 70,joscia.martin@sfr.fr,Pdte : Joscia Martin ; Secrét. : Maryse Perrogon ; Trés. : Mariette Pellerin,,lva-auto
2 CV CLUB BISONTIN,25660 La Vèze - France,06 12 39 15 46,renaudmichel59@neuf.fr,Pdt : Renaud Michel ; Trés. : Jean-François Charles ; Secrét. : Martine Delessard,https://www.2cvclubbisontin.fr,lva-auto
2 CV CLUB CHAPIAS,26700 La Garde-Adhémar - France,06 12 83 50 00,chapiasclub@gmail.com,Lilette Betton,,lva-auto
2 CV CLUB CITRO-AISNE,02240 Brissy-Hamégicourt - France,03 23 07 82 03,2cvclubcitroaisne@orange.fr,Pdt : Hubert Dupuis,,lva-auto
2 CV CLUB CÔTE D'AZUR,06370 Mouans-Sartoux - France,06 79 64 47 69,thierry.bravet@wanadoo.fr,,http://www.azur2cv.org,lva-auto
2 CV CLUB CÔTE D'OPALE,62180 Rang-du-Fliers - France,03 21 84 23 63,boudevin.jean-pierre@wanadoo.fr,,,lva-auto
2 CV CLUB D'ILLE-ET-VILAINE,35190 La Chapelle-aux-Filtzméens - France,06 63 37 18 72,le2cvclub35@yahoo.fr,Pdt : David Touchard,http://le2cvclub35.unblog.fr/,lva-auto
2 CV CLUB DAUPHINOIS,38560 Jarrie - France,06 51 93 65 74,2cvclub.dauphinois@gmail.com,Pdt : Alain Champavier ; Trés. : Jan Ansara ; Secrét. : Jeanick Fodere,http://2cvclubdauphinois.fr,lva-auto
2 CV CLUB DE BOURGOGNE,58260 La Machine - France,06 73 23 33 85,2cvcb7121@gmail.com,Pdt : Jean-Michel Lagoutte ; Trés. : Michel David ; Secrét. : Jocelyne Dumont,http://2cvclubdebourgogne.asso-web.com/,lva-auto
2 CV CLUB DE L'UZÈGE,30700 Saint-Maximin - France,06 51 73 06 40,2cvclubuzege@gmail.com,Pdt : Jean-Claude Bourdier ; Trés. : Chantal Mazauric ; Secrét. : Magali Ellena,http://jcbourdier.wixsite.com/2cvclubuzege,lva-auto
2 CV CLUB DE LA SAVE,31530 Montaigut-sur-Save - France,06 98 70 40 48,club2cvsave@gmail.com,Pdt : Romuald Derenne ; Trés. : Marie-Pierre O'Keefe ; Secrét. : Frédéric Busquet,https://2cvclubdelasave.fr/,lva-auto
2 CV CLUB DE LORRAINE,54140 Jarville-la-Malgrange - France,07 82 94 10 51,contact@2cvclub-lorraine.com,Pdt : Jacques Lendant ; Trés. : C. Gérard,http://www.2cvclub-lorraine.com,lva-auto
2 CV CLUB DE SUCY,94370 Sucy-en-Brie - France,01 45 90 95 42,komaniecki@hotmail.fr,Pdt : Christian Komaniecky ; Trés. Philippe Debourdeau ; Secrét. :Michel Grattepanche,,lva-auto
2 CV CLUB DES DUCS D'ALENÇON,61250 Damigny - France,06 12 17 01 86,2cvclubdesducs@gmail.com,Pdt : Jérome Sorel ; Trés. : Pascal Leveille ; Secrét. : Michel Leprieur,,lva-auto
2 CV CLUB DU BASSIN D'ARCACHON,33470 Le Teich - France,05 56 22 67 95,deuches.arcachon.2001@laposte.net,Pdt : Laurent Coirnot ; Trés. : Marcel Coirnot ; Secrét. : Ãric Marquet,,lva-auto
2 CV CLUB DU DAUPHINÉ-VIVARAIS,26600 Beaumont-Monteux - France,06 60 68 45 51,2cvclubdudauphinevivarais@gmail.com,Pdt : Patrick Onetti,http://2cvclubdauphinevivarais.fr,lva-auto
2 CV CLUB DU PAYS DE PÉVÈLE,59242 Cappelle-en-Pévèle - France,06 16 29 35 37,pp2cvclub@orange.fr,Pdt : Yannick Van Poopel ; Trés. et Secrét. : Philippe Prouvez,http://paysdepevele2cvclub.jmdo.com,lva-auto
