id,nom,adresse,telephone,email,bureau,site_internet,lien
C1,'55 '56 '57 CLASSIC CHEVY CLUB FRANCE - CCCF,77140 Saint-Pierre-lès-Nemours - France,06 18 81 62 51,567cccfprez@free.fr,Pdt et Secrét. : Olivier Morin ; Vice-Pdt : Bruno Grégoire et Philippe Pérez ; Trés. : Philippe Crampes,http://567cccflesite.free.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1&idCategorie=C
C1686,07 AUTO RÉTRO CLUB,07200 Vesseaux - France,06 85 96 51 83,07autoretroclub@gmail.com,Pdts : Claude Méral et Philippe Petit ; Vice-Pdt : Jean-Claude Berner ; Trés. : Michel Chapuis ; Secrét. : Cathy Petit,http://www.07autoretroclub.wixsite.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1686&idCategorie=C
C878,17 RÉTRO PASSION,17400 Les Églises-d'Argenteuil - France,06 98 96 64 70,joscia.martin@sfr.fr,Pdte : Joscia Martin ; Secrét. : Maryse Perrogon ; Trés. : Mariette Pellerin,,https://www.lva-auto.fr/annuaire.detail.php?id=C878&idCategorie=C
C2177,2 CV CLUB BISONTIN,25660 La Vèze - France,06 12 39 15 46,renaudmichel59@neuf.fr,Pdt : Renaud Michel ; Trés. : Jean-François Charles ; Secrét. : Martine Delessard,https://www.2cvclubbisontin.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2177&idCategorie=C
C1734,2 CV CLUB CHAPIAS,26700 La Garde-Adhémar - France,06 12 83 50 00,chapiasclub@gmail.com,Lilette Betton,,https://www.lva-auto.fr/annuaire.detail.php?id=C1734&idCategorie=C
C4,2 CV CLUB CITRO-AISNE,02240 Brissy-Hamégicourt - France,03 23 07 82 03,2cvclubcitroaisne@orange.fr,Pdt : Hubert Dupuis,,https://www.lva-auto.fr/annuaire.detail.php?id=C4&idCategorie=C
C1383,2 CV CLUB CÔTE D'AZUR,06370 Mouans-Sartoux - France,06 79 64 47 69,thierry.bravet@wanadoo.fr,,http://www.azur2cv.org,https://www.lva-auto.fr/annuaire.detail.php?id=C1383&idCategorie=C
C5,2 CV CLUB CÔTE D'OPALE,62180 Rang-du-Fliers - France,03 21 84 23 63,boudevin.jean-pierre@wanadoo.fr,,,https://www.lva-auto.fr/annuaire.detail.php?id=C5&idCategorie=C
C1442,2 CV CLUB D'ILLE-ET-VILAINE,35190 La Chapelle-aux-Filtzméens - France,06 63 37 18 72,le2cvclub35@yahoo.fr,Pdt : David Touchard,http://le2cvclub35.unblog.fr/,https://www.lva-auto.fr/annuaire.detail.php?id=C1442&idCategorie=C
C2121,2 CV CLUB DAUPHINOIS,38560 Jarrie - France,06 51 93 65 74,2cvclub.dauphinois@gmail.com,Pdt : Alain Champavier ; Trés. : Jan Ansara ; Secrét. : Jeanick Fodere,http://2cvclubdauphinois.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2121&idCategorie=C
C2173,2 CV CLUB DE BOURGOGNE,58260 La Machine - France,06 73 23 33 85,2cvcb7121@gmail.com,Pdt : Jean-Michel Lagoutte ; Trés. : Michel David ; Secrét. : Jocelyne Dumont,http://2cvclubdebourgogne.asso-web.com/,https://www.lva-auto.fr/annuaire.detail.php?id=C2173&idCategorie=C
C2403,2 CV CLUB DE L'UZÈGE,30700 Saint-Maximin - France,06 51 73 06 40,2cvclubuzege@gmail.com,Pdt : Jean-Claude Bourdier ; Trés. : Chantal Mazauric ; Secrét. : Magali Ellena,http://jcbourdier.wixsite.com/2cvclubuzege,https://www.lva-auto.fr/annuaire.detail.php?id=C2403&idCategorie=C
C2646,2 CV CLUB DE LA SAVE,31530 Montaigut-sur-Save - France,06 98 70 40 48,club2cvsave@gmail.com,Pdt : Romuald Derenne ; Trés. : Marie-Pierre O'Keefe ; Secrét. : Frédéric Busquet,https://2cvclubdelasave.fr/,https://www.lva-auto.fr/annuaire.detail.php?id=C2646&idCategorie=C
C8,2 CV CLUB DE LORRAINE,54140 Jarville-la-Malgrange - France,07 82 94 10 51,contact@2cvclub-lorraine.com,Pdt : Jacques Lendant ; Trés. : C. Gérard,http://www.2cvclub-lorraine.com,https://www.lva-auto.fr/annuaire.detail.php?id=C8&idCategorie=C
C2211,2 CV CLUB DE SUCY,94370 Sucy-en-Brie - France,01 45 90 95 42,komaniecki@hotmail.fr,Pdt : Christian Komaniecky ; Trés. Philippe Debourdeau ; Secrét. :Michel Grattepanche,,https://www.lva-auto.fr/annuaire.detail.php?id=C2211&idCategorie=C
C2204,2 CV CLUB DES DUCS D'ALENÇON,61250 Damigny - France,06 12 17 01 86,2cvclubdesducs@gmail.com,Pdt : Jérome Sorel ; Trés. : Pascal Leveille ; Secrét. : Michel Leprieur,,https://www.lva-auto.fr/annuaire.detail.php?id=C2204&idCategorie=C
C1720,2 CV CLUB DU BASSIN D'ARCACHON,33470 Le Teich - France,05 56 22 67 95,deuches.arcachon.2001@laposte.net,Pdt : Laurent Coirnot ; Trés. : Marcel Coirnot ; Secrét. : Ãric Marquet,,https://www.lva-auto.fr/annuaire.detail.php?id=C1720&idCategorie=C
C1127,2 CV CLUB DU DAUPHINÉ-VIVARAIS,26600 Beaumont-Monteux - France,06 60 68 45 51,2cvclubdudauphinevivarais@gmail.com,Pdt : Patrick Onetti,http://2cvclubdauphinevivarais.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1127&idCategorie=C
C2200,2 CV CLUB DU PAYS DE PÉVÈLE,59242 Cappelle-en-Pévèle - France,06 16 29 35 37,pp2cvclub@orange.fr,Pdt : Yannick Van Poopel ; Trés. et Secrét. : Philippe Prouvez,http://paysdepevele2cvclub.jmdo.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2200&idCategorie=C
C1901,2 CV CLUB ET RÉTRO CENTRE ALSACE,67220 Dieffenbach-au-Val - France,07 82 66 90 10,president@2cvcentrealsace.fr,Pdt : André Reboul ; Trés. : Denise Gutzler,http://www.2cvcentrealsace.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1901&idCategorie=C
C1235,2 CV CLUB GARLABAN,13400 Aubagne - France,04 42 03 37 95,garlaban.club2cv@free.fr,Pdt : Philippe Gaillard ; Vice-Pdt : Marc Bracaloni ; Trés. : Claude Bernardini ; Secrét. : Jean Varroy,http://www.2cvclubgarlaban.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1235&idCategorie=C
C2217,2 CV CLUB HENRY IV,64190 Navarrenx - France,05 59 66 53 90,cakahlhoven@orange.fr,Pdt : Jacques Pedehontaa ; Trés. : Claude-Annie Kahlhoven; Secrét. : Jean-François Pedehontaa,,https://www.lva-auto.fr/annuaire.detail.php?id=C2217&idCategorie=C
C2182,2 CV CLUB HÉRAULT,34660 Cournonsec - France,06 65 76 19 57,deuchclubherault@yahoo.fr,Pdt : Daniel Minon ; Trés. : Philippe Gimenez ; Secrét. : Frédéric Houlez,,https://www.lva-auto.fr/annuaire.detail.php?id=C2182&idCategorie=C
C1457,2 CV CLUB LE VOLANT DE FER,06450 Belvédère - France,,renelerda2cv@gmail.com,Pdt : René Lerda ; Trés. : Thierry Bouchot ; Secrét. : Roger Lanza,http://www.2cvclublevolantdefer.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1457&idCategorie=C
C1563,2 CV CLUB LUBERON-VENTOUX,84740 Velleron - France,06 81 93 40 49,2cvluberonventoux@gmail.com,Pdte : Agnès David ; Vice-Pdte : Claudine Fontaine ; Trés. : Roland Joye ; Secrét. : Christian Leclercq,http://www.2cvclubluberonventoux.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1563&idCategorie=C
C2189,2 CV DÉLIRE,38400 Saint-Martin-d'Hères - France,06 70 07 39 76,2cvclubdelire@free.fr,,,https://www.lva-auto.fr/annuaire.detail.php?id=C2189&idCategorie=C
C2195,2 CV DER,51300 Thiéblemont-Farémont - France,06 27 11 75 32,gerald.dumain@sfr.fr,Pdt : Gérald Dumain ; Trés. : Thierry Lebobe ; Secrét. : Monique Collas,,https://www.lva-auto.fr/annuaire.detail.php?id=C2195&idCategorie=C
C2668,2 CV et + Club Pontois,17800 Mazerolles - France,,2cv.clubpontois@gmail.com,Pdt : Patrick Mossion,,https://www.lva-auto.fr/annuaire.detail.php?id=C2668&idCategorie=C
C1620,2 CV MON AMOUR,29000 Quimper - France,06 38 93 95 07,secretaire2cvmonamour1@gmail.com,Pdt : François Gallego ; Trés. : Martine Tressard ; Secrét. Gwenola Morvan,https://2cvmonamour.wixsite.com/2cvclub,https://www.lva-auto.fr/annuaire.detail.php?id=C1620&idCategorie=C
C2167,2 CV SOUS LES POMMIERS,14130 Pont-l'Évêque - France,06 70 04 20 11,2cvsouslespommiers@wanadoo.fr,Pdt : Sébastien Lang et Philippe Brienne ; Trés. : Pascal Langlois et Michel Lang ; Secrét. : Marie-Claude Ray et Ãric Blanvillain,http://www.2cvsouslespommiers.over-blog.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2167&idCategorie=C
C2109,2 CV TOUS TERRAINS,71450 Blanzy - France,03 85 68 08 36,jean-pierre.marchandon@wanadoo.fr,Pdt : Jean-Pierre Marchandon,http://2cvclubtousterrains.blog.free.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2109&idCategorie=C
C1833,205 GTI CLUB DE FRANCE,69005 Lyon 5 - France,06 74 43 51 51,contact@club205gti.fr,Pdt : Thierry Larue,http://www.club205gti.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1833&idCategorie=C
C1600,205 RALLYE CLUB DE FRANCE,95240 Cormeilles-en-Parisis - France,06 08 82 40 86,contact@205rallye.net,Pdt : François Quaiton ; Trés. : Sylvain Pelatan ; Secrét. : Emmanuel Valentin,http://www.205rallye.net,https://www.lva-auto.fr/annuaire.detail.php?id=C1600&idCategorie=C
C1151,4 ROUES SOUS UN PARAPLUIE,21910 Corcelles-lès-Cîteaux - France,06 83 84 93 90,4rouessousunparapluie@gmail.com,Pdte : Marie-Ãlisabeth Chevalier ; Vice-Pdt : Joël Biazizzo ; Trés. : Jacques Fattelay ; Secrét. : Daniel Dupont,http://quatreroues.jimdo.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1151&idCategorie=C
C2625,4L PÉRIGORD,24000 Périgueux - France,,contact@4lperigord.fr,Pdt : Guillaume Launes ; Vice-Pdt : Rudi Jeanson ; Trés. Sébastien Girardeau ; Secrét. : J. Coudert ; Secrét. adj. : P. Breton,https://4lperigord.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2625&idCategorie=C
C2152,6ENLIGNE.NET,31700 Cornebarrieu - France,,adhesion@6enligne.net,Pdt : Frédéric Rolfo,http://www.6enligne.net,https://www.lva-auto.fr/annuaire.detail.php?id=C2152&idCategorie=C
C1129,À LA RECHERCHE DES AUTOS PERDUES,77400 Dampmart - France,06 03 01 05 17,autosperdues@hotmail.fr,Pdt : Régis Hamel ; Trés. : Yves Marchand ; Secrét. : Michel Delacour,http://www.alarecherchedesautosperdues.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1129&idCategorie=C
C2142,À NOUS LES VIEILLES ANGLAISES,69890 La Tour-de-Salvagny - France,,cath.levert@gmail.com,Pdte : Noëlle Clauss ; Vice-Pdt : Gaëtan Falcot ; Trés. : Daniel Mollard ; Trés. adj. : Catherine Verpault ; Secrét. : Catherine Verpault,http://anouslesvieillesanglaises.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2142&idCategorie=C
C2133,A-110 ET CIE,70200 Vouhenans - France,06 17 53 09 59,a110etcompagnie@gmail.com,Pdt : Christian Bresson ; Vice-Pdt : Frank Bresson ; Trés. : Sabrina Bresson ; Trés. adj. : Steve Blanc,http://www.a-110etcompagnie.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2133&idCategorie=C
C513,A.B.A.H.R.,68840 Pulversheim - France,06 12 09 52 52,garagetonnelle@orange.fr,Pdt : Joël Tonnelle,,https://www.lva-auto.fr/annuaire.detail.php?id=C513&idCategorie=C
C530,A.C.S.O. CLASSIC,33080 Bordeaux Cedex - France,05 56 44 22 92,acso.classic@gmail.com,Pdt : Vincent Picot,http://www.acso-classic.com,https://www.lva-auto.fr/annuaire.detail.php?id=C530&idCategorie=C
C1952,A.M.J.C.O.,45430 Chécy - France,02 38 86 07 25,jmcfaure0353@orange.fr,Pdt : Jean Faure,http://www.amjco.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1952&idCategorie=C
C2380,A.V.E.M 86,86530 Cenon-sur-Vienne - France,06 83 71 27 11,avem86@hotmail.fr,Pdt : Rudy Chabot ; Trés. : Marny Chabot ; Secrét. : Anne-Louise Blanchard,http://www.avem86forum.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2380&idCategorie=C
C2582,A2VE,88160 Le Ménil - France,,a2ve@orange.fr,Pdt : Didier Brasme ; Trés. : Roger Sabatier ; Secrét. : Ãric Sage,http://www.a-2v-e.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2582&idCategorie=C
C2306,A310 CLUB SPORT,13170 Les Pennes-Mirabeau - France,04 91 79 17 18,alpine310.clubsport@gmail.com,Pdt : Marcel Kartner ; Trés. : Denise Champclaux ; Secrét. : Christophe Carduner,,https://www.lva-auto.fr/annuaire.detail.php?id=C2306&idCategorie=C
C1709,ABA 34-30,34570 Pignan - France,04 34 35 53 81,bernard.triaire@neuf.fr,,,https://www.lva-auto.fr/annuaire.detail.php?id=C1709&idCategorie=C
C1652,ACB,53170 Maisoncelles-du-Maine - France,06 75 85 66 43,edequatrebarbes@gmail.com,Pdt : Philippe Brégeon ; Trés. et Secrét. : Edouard de Quatrebarbes,,https://www.lva-auto.fr/annuaire.detail.php?id=C1652&idCategorie=C
C36,AGVA - AMATEURS GANNATOIS DE VÉHICULES ANCIENS,03800 Gannat - France,04 70 90 54 04,,Pdt : Jean-Pierre Potier ; Trés. : Jean-Marc Doukhan ; Secrét. : Jean-Pierre Desgouttes,,https://www.lva-auto.fr/annuaire.detail.php?id=C36&idCategorie=C
C729,AIR-5,45700 Chevillon-sur-Huillard - France,06 20 35 86 76,air-5@ymail.com,Pdt : Sylvain Boisramé ; Trés. et Secrét : Michel Perrier ; Webmaster : Cédric Billeque ; Référent tech. : Matthieu Rolland,http://www.renault-5.net,https://www.lva-auto.fr/annuaire.detail.php?id=C729&idCategorie=C
C2259,AJPA RETRO,21230 Arnay-le-Duc - France,03 80 64 37 09,jean-pierreaubert30@orange.fr,Pdt : Jean-Pierre Aubert ; Trés. adj. : Marie Fourrier ; Secrét. : Anne-Marie Aubert,http://www.ass-jparetro.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2259&idCategorie=C
C46,ALES ALPINE - V.E.C,30340 Saint-Privat-des-Vieux - France,04 66 78 91 10,aavec@wanadoo.fr,Pdt : Geneviève Coube ; Trés. : Gilbert Christin ; Secrét. : Ãric Remuson,,https://www.lva-auto.fr/annuaire.detail.php?id=C46&idCategorie=C
C1029,ALFA CLASSIC CLUB DE FRANCE,77003 Melun Cedex - France,06 87 19 38 68,alfaclassicclub2.0@gmail.com,"Pdt : René Lebenthal ; Vice-Pdts : Emilio Agiato, Bruno Caggiula ; Trés. : F. Zanzucchi ; Secrét. : H. Chopin ; Organisation circuits, voyages et sorties : Dominique Pointu ; Resp. relations et sponsoring : Luc-Michel Riblier ; Comm. Internet : Je",http://www.alfaclassicclubclub.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1029&idCategorie=C
C1419,ALFA CLUB DES VOLCANS,43320 Saint-Vidal - France,07 86 42 19 67,alfaclubdesvolcans@gmail.com,Pdt : Ãric Fradet ; Trés. : Stéphane Le Duff ; Secrét. : Patrick George ; Communication : Audrey Brunet,https://alfaclubdesvolcans.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1419&idCategorie=C
C1557,ALFA CLUB DU NORD,02300 Chauny - France,07 50 97 14 31,alfa.club@yahoo.fr,"Pdt : Jean-Louis Bridoux ; Trés. : Sylvain Rayez ; Secrét. : Jean-Francis Devaux ; Membres du bureau : Ãric Hermant, Romuald François, Jean-Francis Devaux, Luc d'Hilly, Laurent Letalnet, Thierry Salvadeo et Olivier Poinsot",http://www.facebook.com/alfaclubdunord,https://www.lva-auto.fr/annuaire.detail.php?id=C1557&idCategorie=C
C2407,ALFA CLUB FRANCILIEN,77515 Faremoutiers - France,06 09 64 19 44,alfaclubfrancilien@sfr.fr,Pdt : Philippe Cortet ; Vice-Pdt : Christian Parent ; Trés. : Ãvelyne Caron ; Secrét. : Philippe Gambet,,https://www.lva-auto.fr/annuaire.detail.php?id=C2407&idCategorie=C
C2547,ALFA CLUB TOULOUSE PYRÉNÉES,31330 Merville - France,05 61 79 31 20,alfa.clubtmp@orange.fr,Pdt : Georges Laferriere ; Vice-Pdt : Ludovic Labeyrie ; Secrét. : Jean-Jacques Salives ; Trés. : Lydie Lagoutte,http://alfaclubtpy.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2547&idCategorie=C
