nom,adresse,representant,telephone,email,site
TEAM MOBYLETTE SALUCÉENS,91700 Villiers-sur-Orge,,06 51 37 94 41,aces91@orange.fr,https://www.facebook.com/profile.php?id=61577747645435
TRICASTIN AUTO PASSION,26130 Saint-Paul-Trois-Châteaux,,06 72 13 91 04,tricastinautopassion@gmail.com,https://tricastin-auto-passion-1.s2.yapla.com/fr/
RHÔNE BALADES MOTO,69970 Chaponnay,,,yan@rhonebaladesmoto.fr,https://rhonebaladesmoto.fr
AUTOMOBILE CLUB LIVRADOIS FOREZ,63220 Arlanc,,06 77 02 72 85,aclfautomoto@hotmail.com,
GENTLEMEN DRIVERS KAODAN,56850 Caudan,,06 86 01 79 50,marclepallec@hotmail.fr,
DES GENTLEMAN'S AUX VOLANTS,01100 Oyonnax,,07 83 51 46 94,desgentlemansauxvolants@gmail.com,https://www.facebook.com/groups/176093904383744
HEC PARIS AUTOMOBILE,78350 Jouy-en-Josas,,06 78 23 38 07,elauna.chastel@hec.edu,https://www.hec.edu
GOOD OLD CARS,"09922
jacodel",,0866498312,jacodel@skynet.be,https://www.facebook.com/groups/308664983124861
RÉTRO BUS NAZAIRIENS,44380 Pornichet,,07 59 66 39 43,contact@retrobus-nazairiens.fr,http://www.retrobus-nazairiens.fr
EXOTIC CARS CLUB SPORT,13340 Rognac,,07 82 85 20 35,noa@exotic-cars-andorre.com,https://www.exotic-cars-andorra.com
ON THE ROAD AGAIN,95390 Saint-Prix,,06 84 98 24 17,milourd350@gmail.com,http://ontheroadagain.fr
UNION MOTOCYCLISTE DE L'AIN,01270 Coligny,,06 08 23 16 25,jackyguillemoz@hotmail.fr,http://www.umain01.fr
LES BIELLES GATINAISES,77890 Beaumont-du-Gâtinais,,06 64 01 78 00,lesbiellesgatinaises@outlook.fr,https://claudemargi.wixsite.com/lesbiellesgatinaises
CLUB AUTO MINIATURE,27540 Ivry-la-Bataille,,06 75 06 12 82,cam.ivry@free.fr,
AUTO CLUB DU VAL DE COGNAC,16370 Val-de-Cognac,,06 62 03 33 68,autoclubvaldecognac@orange.fr,https://www.facebook.com/profile.php?id=61557872133571
GENERATION SUPERCINQ,79600 Saint-Loup-Lamairé,,06 81 02 57 34,generation.supercinq@gmail.com,https://www.facebook.com/Generation.supercinq
205 GTI CLUB NIVERNAIS,58000 Nevers,,06 83 66 81 11,romgti58@orange.fr,
RETRO MOBILE BANS,39380 Bans,,06 82 13 40 85,f.v.petitjean39@gmail.com,https://www.facebook.com/groups/733618965413326
AMICAL CAR2REV,95640 Bréançon,,06 86 76 33 17,thierycousin@gmail.com,https://www.facebook.com/profile.php?id=100086557891457
RETRO CLUB LES SURANNÉS,10130 Racines,,06 23 31 44 35,oldcrowmotor@gmail.com,https://sites.google.com/view/les-surannes
LES VOLANTS DE L'EMBLAVEZ,43800 Beaulieu,,06 71 72 62 87,christian.gerbier0217@orange.fr,
EN VOITURE SIMONE MOREUIL,80110 Moreuil,,06 14 18 06 96,envoituresimonemoreuil@gmail.com,http://envoituresimone-moreuil.fr
MILLAU ALPINE RENAULT SPORT V.E.C.,12100 Millau,,06 07 97 96 11,bernard.brusque@orange.fr,https://www.marsvec.fr
LES STAUBLEURS,44370 Loireauxence,,06 15 21 80 43,les.staubleurs@gmail.com,
LES BELLES AUTOS DE CHEZ NOUS,13210 Saint-Rémy-de-Provence,,06 13 24 44 22,lesbellesautosdecheznous@gmail.com,https://www.facebook.com/people/Les-Belles-Autos-De-Chez-Nous/61561066722287
FRANCETOURISMAUTO,15000 Aurillac,,06 58 59 46 26,contact.francetourismauto@gmail.com,https://www.francetourismauto.com
AMICALE LA PLUS BELLE EPOQUE,76430 Saint-Romain-de-Colbosc,,07 77 83 29 77,amicale.lpbe@gmail.com,https://www.facebook.com/AmicaleDeLaBelleEpoque
CAYLUS RETRO MOBIL,82160 Caylus,,06 16 66 22 58,caylusretromobil.82@gmail.com,
LES AILLEULS DE LA ROUTE,69780 Saint-Pierre-de-Chandieu,,06 24 70 21 48,lesaieulesdelaroute@gmail.com,https://www.facebook.com/aieules.delaroute
RÉTROBIELLES DU SAULOIS,57170 Château-Salins,,03 87 05 14 39,retro-bielles@orange.fr,
AMICALE FOUGERÉENNE DE VÉHICULES D'ÉPOQUE,85480 Fougeré,,06 47 27 54 82,afve85@gmail.com,
AUTO RESTO CLASSIC,38550 Saint-Maurice-l,,06 49 87 56 43,autorestoclassic@gmail.com,https://www.facebook.com/profile.php?id=100082365740743
LES BELLES D'AUTREFOIS,62880 Estevelles,,06 35 45 00 87,lesbellesdautrefois2611@gmail.com,
SORTIE DE GRANGE 23,23110 Saint-Julien-la-Genête,,06 22 98 33 29,sortiedegrange23@gmail.com,https://www.facebook.com/profile.php?id=61573246828345
LOW-CRUISER,42320 Farnay,,06 67 26 02 38,herve.mellado@gmail.com,https://www.facebook.com/lowcruiser42
RÉTRO LÉGENDE FRÉJUS,83600 Fréjus,,04 78 30 53 77,pierre@retrolegende.fr,http://www.retrolegende.fr
AIR'N7 COOLED,26240 Laveyron,,,airn7cooled@gmail.com,https://www.facebook.com/air.n7.cooled
ASSOCIATION HISTORIQUE DE L'AUTOMOBILE CLUB DE PICARDIE,80080 Amiens,,06 11 30 06 09,automobileclubpicardie@outlook.com,https://automobileclubpicardie.fr
ECURIE DES GRANDS CAUSSES HISTORIC,12640 Rivière-sur-Tarn,,06 08 69 42 52,egch12640@gmail.com,https://www.facebook.com/p/Ecurie-des-Grands-Causses-Historic-100064861413641
VÉHICULE ITALIEN AUVERGNAT,63290 Puy-Guillaume,,06 34 02 14 76,clubviauvergne@gmail.com,https://www.facebook.com/profile.php?id=61572189037811
LES AMIS DU SOLEX ET DE LA MOB,84170 Monteux,,06 12 98 12 71,84170@orange.fr,https://www.facebook.com/lesamisdusolexetdelamob
CYLINDRES & PISTONS,95240 Cormeilles-en-Parisis,,06 80 04 44 29,cylindres.pistons.95240@gmail.com,http://cylindres-pistons.fr
LES DÉJANTÉS DU CARBU,62700 Bruay-la-Buissière,,06 61 76 44 97,lesdejantesducarbu@gmail.com,https://www.facebook.com/p/Les-D%C3%A9jant%C3%A9s-du-Carbu-61558666161872
